,imdb_title_id,title,original_title,year,date_published,genre,duration,country,production_company,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,support_actor,lead_director,lead_writer,month,production_number,lead_number,support_number,director_number,writer_number,0_Action,0_Adventure,0_Animation,0_Biography,0_Comedy,0_Crime,0_Drama,0_Family,0_Fantasy,0_History,0_Horror,0_Music,0_Musical,0_Mystery,0_News,0_Romance,0_Sci-Fi,0_Sport,0_Thriller,0_War,0_Western,avg_vote_round
1670,tt4333578,Robot Revolution,Robot Revolution,2015,2015-03-10,Sci-Fi,85,USA,Pandora Machine,2.3,112,3000000,2.3,112,2.9,2.0,2.0,Virginia Logan,Mary Murphy,Andrew Bellware,Steven J. Niles,3,378,4636,4600,138,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1671,tt1890448,Left of Center,Left of Center,2014,2014-01-01,Thriller,80,USA,0,4.0,132,0,4.0,132,4.8,4.5,3.3,Bryson Baker,Jason Wilkinson,Dave Norman,Brandi Jenkins,1,0,5021,5450,6746,3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
1672,tt1918806,Entrance,Entrance,2012,2012-05-18,"Drama, Horror, Thriller",83,USA,0,4.8,877,0,4.8,877,5.4,6.0,4.3,Suziey Block,Karen Baird,Dallas Richard Hallam,Karen Gorham,5,0,1032,3615,1515,5544,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
1673,tt2924442,The Pact II,The Pact II,2014,2014-09-05,"Horror, Mystery, Thriller",96,USA,Campfire,4.4,3283,0,4.4,3283,4.6,4.0,4.6,Caity Lotz,Camilla Luddington,Dallas Richard Hallam,Dallas Richard Hallam,9,58,1245,5938,1515,6646,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4
1674,tt1877890,American Mummy,American Mummy,2014,2014-07-04,Horror,82,USA,Amerimum,2.8,153,3000000,2.8,153,3.3,2.0,3.0,Suziey Block,Aidan Bristow,Charles Pinion,Charles Pinion,7,2962,1032,585,6546,6182,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1675,tt1945052,Broken Roads,Broken Roads,2012,2012-11-08,Drama,151,USA,Crevice Entertainment Company,5.0,197,1500000,5.0,197,5.7,6.0,5.4,Sally Kirkland,Aidan Bristow,Justin Chambers,Justin Chambers,11,685,475,585,866,1373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1676,tt4125630,American Bred,American Bred,2016,2016-04-08,"Action, Crime, Drama",109,USA,Crevice Entertainment Company,5.5,102,0,5.5,102,5.9,6.0,6.4,Michael Lerner,Eva Tamargo,Justin Chambers,Justin Chambers,4,685,2343,4436,866,1373,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1677,tt1942828,Children of Sorrow,Children of Sorrow,2012,2012-10-06,Horror,88,USA,0,4.2,563,0,4.2,563,4.7,5.0,4.5,Bill Oberst Jr.,Hannah Levien,Jourdan McClure,Ryan Finnerty,10,0,29,6727,675,344,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
1678,tt1560978,Rogue River,Rogue River,2012,2012-01-16,"Horror, Thriller",81,USA,Lost Lane Entertainment,4.3,1776,2000000,4.3,1776,4.5,4.0,4.4,Michelle Page,Art Alexakis,Jourdan McClure,Ryan Finnerty,1,603,6376,3816,675,344,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
1679,tt6225534,Ghostmates,Ghostmates,2016,2016-12-14,"Comedy, Drama, Fantasy",85,USA,Defy Media,4.3,705,0,4.3,705,5.5,6.0,5.2,Ian Hecox,Anthony Padilla,Jack Henry Robbins,Ryan Finnerty,12,1194,1190,6511,1429,344,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
