,actor_number,actor_name
1020,1020,MacLeod Andrews
1021,1021,Dreya Weber
1022,1022,Martin Donovan
1023,1023,Marques Houston
1024,1024,Nicole Sienna
1025,1025,Trevor Jackson
1026,1026,Lexi Johnson
1027,1027,Viggo Mortensen
1028,1028,Daniel Craig
1029,1029,Paris Warner
1030,1030,Melanie Griffith
1031,1031,Thomas Carr
1032,1032,Suziey Block
1033,1033,Dominic Keating
1034,1034,Jeremiah Sayys
1035,1035,Sarah Michelle Gellar
1036,1036,Tyne Daly
1037,1037,Ralph Sepe
1038,1038,Katie Leclerc
1039,1039,Adam Beach
1040,1040,Christian Campbell
1041,1041,Helena Mattsson
1042,1042,Mark Dacascos
1043,1043,Michael Vartan
1044,1044,Rosamund Pike
1045,1045,Alycia Debnam-Carey
1046,1046,Justine Wachsberger
1047,1047,Elijah Wood
1048,1048,Windham Beacham
1049,1049,Tina Fey
1050,1050,Jeffrey Dean Morgan
1051,1051,C.J. Thomason
1052,1052,Josh Zuckerman
1053,1053,Adam Berardi
1054,1054,Samantha Acampora
1055,1055,William Moseley
1056,1056,Janine Turner
1057,1057,Danny DeVito
1058,1058,Joshua Winch
1059,1059,Lily Collins
1060,1060,Robin Tunney
1061,1061,Jacob Latimore
1062,1062,Steve Daron
1063,1063,Shirly Brener
1064,1064,Billy Crudup
1065,1065,Geraldine Viswanathan
1066,1066,Rachel Brosnahan
1067,1067,Betty Gilpin
1068,1068,Michael O'Keefe
1069,1069,Nichelle Nichols
1070,1070,Kris Kristofferson
1071,1071,Scott Elrod
1072,1072,Lochlyn Munro
1073,1073,Wendell Pierce
1074,1074,AJ Michalka
1075,1075,Vincent Martella
1076,1076,Blythe Danner
1077,1077,Madeline Carroll
1078,1078,Rutger Hauer
1079,1079,Melissa Joan Hart
1080,1080,Chandler Canterbury
1081,1081,Jake T. Austin
1082,1082,Andy Biersack
1083,1083,Sean Penn
1084,1084,Jeremy Renner
1085,1085,Emily Browning
1086,1086,Rose Leslie
1087,1087,Busy Philipps
1088,1088,Cary Elwes
1089,1089,Brittany Belland
1090,1090,John C. McGinley
1091,1091,David LaRosa
1092,1092,Cheyenne Jackson
